Name,LOC,Files,Language,Commits,url
spree,128004,2002,Ruby,127205,https://github.com/spree/spree.git
geoserver,1520184,11335,Java,128502,https://github.com/geoserver/geoserver.git
matplotlib,871923,2101,Python,133395,https://github.com/matplotlib/matplotlib.git
bosh,517859,3682,Ruby,140199,https://github.com/cloudfoundry/bosh.git
silverstripe-framework,224678,1670,PHP,143831,https://github.com/silverstripe/silverstripe-framework.git
buck,1156554,11009,Java,144670,https://github.com/facebook/buck.git
phpbb,415902,2383,PHP,149367,https://github.com/phpbb/phpbb.git
fog,71348,1666,Ruby,178237,https://github.com/fog/fog.git
repose,270218,3138,Groovy,189762,https://github.com/rackerlabs/repose.git
jclouds,712032,7357,Java,217635,https://github.com/jclouds/jclouds.git
cakephp,314920,1284,PHP,224095,https://github.com/cakephp/cakephp.git
openproject,537705,4340,Ruby,279837,https://github.com/opf/openproject.git
rubinius,1675723,6633,Ruby,301510,https://github.com/rubinius/rubinius.git
ceph,1540868,5845,C++,311566,https://github.com/ceph/ceph.git
manageiq,456865,2546,Ruby,317124,https://github.com/ManageIQ/manageiq.git
mule,556014,4534,Java,358989,https://github.com/mulesoft/mule.git
FrameworkBenchmarks,222580,3748,Shell,387197,https://github.com/TechEmpower/FrameworkBenchmarks.git
cocos2d-x,1583122,4552,C++,424599,https://github.com/cocos2d/cocos2d-x.git
jruby,1167419,10183,Ruby,462961,https://github.com/jruby/jruby.git
joomla-cms,1136698,5945,PHP,485818,https://github.com/joomla/joomla-cms.git
kotlin,2459598,63849,Kotlin,503344,https://github.com/JetBrains/kotlin.git
edx-platform,1756395,6601,Python,504692,https://github.com/edx/edx-platform.git
salt,1570758,4754,Python,531987,https://github.com/saltstack/salt.git
corefx,4090629,18499,C#,611489,https://github.com/dotnet/corefx.git
kc,2841966,16775,Java,730182,https://github.com/kuali/kc.git
neo4j,1456046,10019,Java,753798,https://github.com/neo4j/neo4j.git
chapel,5134878,31447,Chapel,882499,https://github.com/chapel-lang/chapel.git
azure-powershell,21810922,16221,C#,1631205,https://github.com/Azure/azure-powershell.git
platform,1638444,15743,PHP,1954608,https://github.com/oroinc/platform.git
mantid,3271526,13458,C++,2814986,https://github.com/mantidproject/mantid.git
