Name,LOC,Files,Language,Commits,url
retire,18191,143,Ruby,2112,https://github.com/karmi/retire.git
ZfcUser,12862,137,PHP,2464,https://github.com/ZF-Commons/ZfcUser.git
chef-logstash,2700,65,Ruby,2533,https://github.com/lusis/chef-logstash.git
resque,9570,88,Ruby,2893,https://github.com/resque/resque.git
opsworks-cookbooks,21672,637,Ruby,3275,https://github.com/aws/opsworks-cookbooks.git
stringer,40293,227,Ruby,3287,https://github.com/swanson/stringer.git
boto3,47915,190,Python,3416,https://github.com/boto/boto3.git
draper,5980,145,Ruby,3422,https://github.com/drapergem/draper.git
PHPoAuthLib,29632,228,PHP,3523,https://github.com/Lusitanian/PHPoAuthLib.git
bourbon,4787,154,Ruby,3691,https://github.com/thoughtbot/bourbon.git
fpm,28305,126,Ruby,3695,https://github.com/jordansissel/fpm.git
django-tastypie,30362,209,Python,3834,https://github.com/django-tastypie/django-tastypie.git
puppetlabs-rewall,15112,106,Ruby,3868,https://github.com/puppetlabs/puppetlabs-firewall.git
gazebo_ros_pkgs,33970,259,C++,4093,https://github.com/ros-simulation/gazebo_ros_pkgs.git
monolog,22563,193,PHP,4181,https://github.com/Seldaek/monolog.git
mackup,5442,426,Python,4227,https://github.com/lra/mackup.git
omniauth,2832,27,Ruby,4913,https://github.com/omniauth/omniauth.git
paperclip,17026,166,Ruby,5069,https://github.com/thoughtbot/paperclip.git
simple_form,10782,106,Ruby,5218,https://github.com/plataformatec/simple_form.git
scribejava,15886,250,Java,5423,https://github.com/scribejava/scribejava.git
phinx,36188,187,PHP,5560,https://github.com/cakephp/phinx.git
react-rails,75580,452,Ruby,5889,https://github.com/reactjs/react-rails.git
PiplMesh,19242,120,Python,6297,https://github.com/wlanslovenija/PiplMesh.git
doorkeeper,13295,242,Ruby,6718,https://github.com/doorkeeper-gem/doorkeeper.git
jedis,40847,181,Java,7283,https://github.com/xetorthio/jedis.git
django-allauth,54294,518,Python,7459,https://github.com/pennersr/django-allauth.git
grape,27242,240,Ruby,7592,https://github.com/ruby-grape/grape.git
RestSharp,23572,168,C#,7764,https://github.com/restsharp/RestSharp.git
sidekiq,19278,203,Ruby,8194,https://github.com/mperham/sidekiq.git
capybara,24466,215,Ruby,8756,https://github.com/teamcapybara/capybara.git
framework,177552,1263,PHP,9242,https://github.com/laravel/framework.git
mail,88534,329,Ruby,9586,https://github.com/mikel/mail.git
puppetlabs-apache,26555,365,Ruby,10048,https://github.com/puppetlabs/puppetlabs-apache.git
luigi,63957,287,Python,10141,https://github.com/spotify/luigi.git
data-access,127985,471,Java,10879,https://github.com/pentaho/data-access.git
pelican,36406,348,Python,11967,https://github.com/getpelican/pelican.git
toxcore,58045,176,C,12020,https://github.com/irungentoo/toxcore.git
active_merchant,200951,701,Ruby,14414,https://github.com/activemerchant/active_merchant.git
beaker,31666,320,Ruby,17261,https://github.com/puppetlabs/beaker.git
parquet-mr,133878,808,Java,17456,https://github.com/apache/parquet-mr.git
activeadmin,53040,589,Ruby,19890,https://github.com/activeadmin/activeadmin.git
foodlight,144666,710,Java,22471,https://github.com/floodlight/floodlight.git
dropwizard,88777,1154,Java,22957,https://github.com/dropwizard/dropwizard.git
jcabi-github,67441,479,Java,23742,https://github.com/jcabi/jcabi-github.git
logstash,131068,1605,Ruby,25773,https://github.com/elastic/logstash.git
Propel2,147603,724,PHP,25885,https://github.com/propelorm/Propel2.git
rails_admin,51961,544,Ruby,26293,https://github.com/sferik/rails_admin.git
errbit,18142,340,Ruby,26436,https://github.com/errbit/errbit.git
exercism.io,59945,571,Ruby,27414,https://github.com/exercism/exercism.io.git
django-rest-framework,92059,365,Python,28281,https://github.com/encode/django-rest-framework.git
bundler,76029,812,Ruby,28679,https://github.com/bundler/bundler.git
Nancy,123067,1304,C#,33625,https://github.com/NancyFx/Nancy.git
Codeception,105038,892,PHP,38392,https://github.com/Codeception/Codeception.git
linguist,571457,2424,Ruby,43616,https://github.com/github/linguist.git
jboss-eap-quickstarts,454127,2353,Java,43691,https://github.com/jboss-developer/jboss-eap-quickstarts.git
octokit.net,170951,1091,C#,44605,https://github.com/octokit/octokit.net.git
swot,15959,7445,Ruby,46824,https://github.com/leereilly/swot.git
Spout,151722,1186,Java,48738,https://github.com/SpoutDev/Spout.git
coi-services,270427,744,Python,51184,https://github.com/ooici/coi-services.git
cloud_controller_ng,337752,2597,Ruby,51863,https://github.com/cloudfoundry/cloud_controller_ng.git
Mvc,424021,2786,C#,53399,https://github.com/aspnet/Mvc.git
theano,328964,673,Python,66018,https://github.com/Theano/Theano.git
pandas,501678,968,Python,66033,https://github.com/pandas-dev/pandas.git
buildbot,275229,1413,Python,80852,https://github.com/buildbot/buildbot.git
geotools,3666311,15243,Java,85119,https://github.com/geotools/geotools.git
darktable,948928,1144,C,90485,https://github.com/darktable-org/darktable.git
in?nispan,916583,8087,Java,101775,https://github.com/infinispan/infinispan.git
catapult,2841262,8389,Python,104062,https://github.com/catapult-project/catapult.git
apex-malhar,354502,2362,Java,105289,https://github.com/apache/apex-malhar.git
shogun,509899,2846,C++,118117,https://github.com/shogun-toolbox/shogun.git
