repo_name,repo_owner,git_url,api_base_url,source_type,access_token,lang,commits,defective
How-to-Make-a-Computer-Operating-System,SamyPesse,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System.git,http://api.github.com,github_repo,,C,243,1
dotfiles,skwp,https://github.com/skwp/dotfiles.git,http://api.github.com,github_repo,,Ruby,1210,3
sass,sass,https://github.com/sass/sass.git,http://api.github.com,github_repo,,JavaScript,239,6
coursera-android,aporter,https://github.com/aporter/coursera-android.git,http://api.github.com,github_repo,,Java,135,9
cool-old-term,Swordfish90,https://github.com/Swordfish90/cool-old-term.git,http://api.github.com,github_repo,,QML,729,11
susy,ericam,https://github.com/ericam/susy.git,http://api.github.com,github_repo,,CSS,1583,13
PushSharp,Redth,https://github.com/Redth/PushSharp.git,http://api.github.com,github_repo,,C#,545,14
vim.js,coolwanglu,https://github.com/coolwanglu/vim.js.git,http://api.github.com,github_repo,,C,219,28
rails-i18n,svenfuchs,https://github.com/svenfuchs/rails-i18n.git,http://api.github.com,github_repo,,Ruby,1837,29
ink,zurb,https://github.com/zurb/ink.git,http://api.github.com,github_repo,,HTML,972,34
sql.js,kripken,https://github.com/kripken/sql.js.git,http://api.github.com,github_repo,,JavaScript,353,43
Newtonsoft.Json,JamesNK,https://github.com/JamesNK/Newtonsoft.Json.git,http://api.github.com,github_repo,,C#,1820,57
Android-ObservableScrollView,ksoichiro,https://github.com/ksoichiro/Android-ObservableScrollView.git,http://api.github.com,github_repo,,Java,383,80
patternlab-php,pattern-lab,https://github.com/pattern-lab/patternlab-php.git,http://api.github.com,github_repo,,PHP,1046,80
shadowsocks-android,shadowsocks,https://github.com/shadowsocks/shadowsocks-android.git,http://api.github.com,github_repo,,Kotlin,3174,89
t,sferik,https://github.com/sferik/t.git,http://api.github.com,github_repo,,Ruby,993,91
jieba,fxsjy,https://github.com/fxsjy/jieba.git,http://api.github.com,github_repo,,Python,513,101
GateOne,liftoff,https://github.com/liftoff/GateOne.git,http://api.github.com,github_repo,,JavaScript,859,119
google-api-php-client,google,https://github.com/google/google-api-php-client.git,http://api.github.com,github_repo,,PHP,1677,119
newspaper,codelucas,https://github.com/codelucas/newspaper.git,http://api.github.com,github_repo,,Python,639,124
rails_best_practices,railsbp,https://github.com/railsbp/rails_best_practices.git,http://api.github.com,github_repo,,Ruby,1276,130
Cactus,koenbok,https://github.com/koenbok/Cactus.git,http://api.github.com,github_repo,,Python,667,135
dagger,square,https://github.com/square/dagger.git,http://api.github.com,github_repo,,Java,701,144
devdocs,Thibaut,https://github.com/Thibaut/devdocs.git,http://api.github.com,github_repo,,Ruby,3280,167
macdown,uranusjr,https://github.com/uranusjr/macdown.git,http://api.github.com,github_repo,,Rich Text Format,1059,169
picasso,square,https://github.com/square/picasso.git,http://api.github.com,github_repo,,Java,1364,183
masscan,robertdavidgraham,https://github.com/robertdavidgraham/masscan.git,http://api.github.com,github_repo,,C,576,187
Telegram,DrKLO,https://github.com/DrKLO/Telegram.git,http://api.github.com,github_repo,,Java,342,193
greenDAO,greenrobot,https://github.com/greenrobot/greenDAO.git,http://api.github.com,github_repo,,Java,857,195
eventmachine,eventmachine,https://github.com/eventmachine/eventmachine.git,http://api.github.com,github_repo,,Ruby,1251,208
springside4,springside,https://github.com/springside/springside4.git,http://api.github.com,github_repo,,Java,1074,213
disruptor,LMAX-Exchange,https://github.com/LMAX-Exchange/disruptor.git,http://api.github.com,github_repo,,Java,958,214
ActionBarSherlock,JakeWharton,https://github.com/JakeWharton/ActionBarSherlock.git,http://api.github.com,github_repo,,Java,1480,219
roboguice,roboguice,https://github.com/roboguice/roboguice.git,http://api.github.com,github_repo,,Java,1054,222
xiki,trogdoro,https://github.com/trogdoro/xiki.git,http://api.github.com,github_repo,,Ruby,1087,224
codis,wandoulabs,https://github.com/wandoulabs/codis.git,http://api.github.com,github_repo,,Go,1688,239
libsodium,jedisct1,https://github.com/jedisct1/libsodium.git,http://api.github.com,github_repo,,C,3740,240
Hystrix,Netflix,https://github.com/Netflix/Hystrix.git,http://api.github.com,github_repo,,Java,2109,241
assetic,kriswallsmith,https://github.com/kriswallsmith/assetic.git,http://api.github.com,github_repo,,PHP,1153,248
