2020-01-14 15:29:42 INFO: Adding repo realm-java to work queue for ingesting
2020-01-14 15:29:42 INFO: A worker is starting scan repository: realm-java
fatal: ambiguous argument 'FETCH_HEAD': unknown revision or path not in the working tree.
Use '--' to separate paths from revisions, like this:
'git <command> [<revision>...] -- [<file>...]'
2020-01-14 15:29:43 INFO: Pulling latest changes from repo: realm-java
fatal: ambiguous argument 'FETCH_HEAD': unknown revision or path not in the working tree.
Use '--' to separate paths from revisions, like this:
'git <command> [<revision>...] -- [<file>...]'
2020-01-14 15:29:44 INFO: Done fetching.
2020-01-14 15:29:44 INFO: Getting/parsing git commits: realm-java
2020-01-14 15:29:56 INFO: Done getting/parsing git commits.
2020-01-14 15:29:56 INFO: Saving commits to the csv...
2020-01-14 15:29:57 INFO: Done saving commits to the csv.
2020-01-14 15:29:57 INFO: A worker finished ingesting repo realm-java
2020-01-14 15:29:57 INFO: Adding repo realm-java to work queue for analyzing.
2020-01-14 15:29:57 INFO: Worker analyzing repository  realm-java
2020-01-14 15:29:57 INFO: Linking 1177 new corrective commits for repo realm-java
2020-01-14 15:29:57 INFO: Linkage for commit ea591ae351e250cdde397ca175cfcca7d0806e9e
/home/smajumd3/Data_Miner/github/API_V3/commit_guru/analyzer/git_commit_linker.py:53: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame

See the caveats in the documentation: http://pandas.pydata.org/pandas-docs/stable/indexing.html#indexing-view-versus-copy
  corrective_commit['linked'] = True # mark that we have linked this corrective commit.
/home/smajumd3/anaconda3/lib/python3.7/site-packages/pandas/core/series.py:1015: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame

See the caveats in the documentation: http://pandas.pydata.org/pandas-docs/stable/indexing.html#indexing-view-versus-copy
  self.loc[key] = value
2020-01-14 15:29:58 INFO: Linkage for commit ba055124e36845baabef4f50300df67a38a8db42
2020-01-14 15:29:58 INFO: Linkage for commit 7be0037463f8b68809f2c74b3823841c95e0bbca
2020-01-14 15:30:06 INFO: Linkage for commit 4219aabcc14d2193a50e52f554100d09e9c73356
2020-01-14 15:30:07 INFO: Linkage for commit 091c4d3489593131eb67baa7f6c075ba9ebcb8a1
2020-01-14 15:30:08 INFO: Linkage for commit 15b71ea0e9cd75ae169ca067a672b7ca6ccb4f33
2020-01-14 15:30:08 INFO: Linkage for commit f4e04aa1c88bbb97f72858950ae5519c5779c999
2020-01-14 15:30:09 INFO: Linkage for commit 8f2ddba73ffa67ebfd2abff152c58250a393e9dd
2020-01-14 15:30:09 INFO: Linkage for commit c921037d535b090084aea11476719131e177e815
2020-01-14 15:30:10 INFO: Linkage for commit d1315c0e9db6fd103991503ba6a8af9f8b9ffc61
2020-01-14 15:30:11 INFO: Linkage for commit c6a8f4675aef0e061dea865b45c9244e37fecd99
2020-01-14 15:30:12 INFO: Linkage for commit 8d29f71e347c3aa06b8e3b4164f7e5ceeca7dc65
2020-01-14 15:30:13 INFO: Linkage for commit a12ae2125d397f09fa42ab629bdccd6fedd5cfe5
2020-01-14 15:30:14 INFO: Linkage for commit 4f04cca445be31e3e72c8cdcb4c66b62edb1b034
2020-01-14 15:30:15 INFO: Linkage for commit 643bc0878eb48457858da895d2ff3e5c468954ce
2020-01-14 15:30:28 INFO: Linkage for commit 84959843bd8059b7efd6596c5b00222a26c09e54
2020-01-14 15:30:28 INFO: Linkage for commit 8cdaf80eb2fbb1d0e9fa9c3197e277be5703affe
2020-01-14 15:30:30 INFO: Linkage for commit f94a3a6cff15993f4ffe424722612623111d6c53
2020-01-14 15:30:31 INFO: Linkage for commit b214c3e59ca1a1c13c23d615ebfa6f7569b2bb63
2020-01-14 15:30:35 INFO: Linkage for commit 7eaef3abef2db99ef7b9fd9e35f57334a67298b2
2020-01-14 15:30:35 INFO: Linkage for commit f2830dbc76bb48e89571ee20306ebd857214ee8e
2020-01-14 15:30:36 INFO: Linkage for commit 73adba7fd400fc98a168e967688b7261c977f625
2020-01-14 15:30:36 INFO: Linkage for commit 2e32f739a2aef5550cdf5029416278459db0a6f5
2020-01-14 15:30:37 INFO: Linkage for commit e2ffcecc772914680eef93b52c5cb87555a41305
2020-01-14 15:30:37 INFO: Linkage for commit ce91e9a27123078f03277a6922b4104e0f8e48af
2020-01-14 15:30:45 INFO: Linkage for commit e3e7421817345b0b36268bd6e821d09216a4da2a
2020-01-14 15:31:13 INFO: Linkage for commit 73ab1ddd42a3303ef5e30b77e10429ee22f17e75
2020-01-14 15:31:13 INFO: Linkage for commit 46d7181b0e11bc36e8216779ee1a89badf500fe3
2020-01-14 15:31:14 INFO: Linkage for commit 6cfa76b2bbb4bfa732b199b8a860033ca4062d5d
2020-01-14 15:31:15 INFO: Linkage for commit f64a8c357d2e927751ecab35eeb46bccb14d6c42
2020-01-14 15:31:15 INFO: Linkage for commit 3723e8804c8cb47adeb39fa67d9961e831b7203d
2020-01-14 15:31:17 INFO: Linkage for commit b6800ae47163aaf2f5c51772b20ec22c9f410dad
2020-01-14 15:31:17 INFO: Linkage for commit 7359f0f59d77c4bb3cdff376079c909bb13f6952
2020-01-14 15:31:18 INFO: Linkage for commit 88e6a04e9acb5accf2e06581053c1066635c8963
2020-01-14 15:31:19 INFO: Linkage for commit 9a8d01dc9dc5ddeb7ddcde2c7bbd70fa945fd12f
2020-01-14 15:31:20 INFO: Linkage for commit 60d81098df9a7eb462af2e66b6cdf53e93a11351
2020-01-14 15:31:27 INFO: Linkage for commit 7b3d2bf6725dbb3aefa005ce02490263f65d269a
2020-01-14 15:31:27 INFO: Linkage for commit bc7698bccaba4dc563567a3a47c6b3c29cddb133
2020-01-14 15:31:29 INFO: Linkage for commit e97793b43ada345a29aaf6a35ac13bff8deda4a2
2020-01-14 15:31:29 INFO: Linkage for commit 522906a485ee0d2a67f32ee9b7b69ed41e4fab39
2020-01-14 15:31:31 INFO: Linkage for commit 74f5431f2c7214d8642cc91c31f7645822029e54
2020-01-14 15:31:31 INFO: Linkage for commit 35832f95343134a181637473d567f28f51f4976a
2020-01-14 15:31:32 INFO: Linkage for commit dbe0bba4a0af0eae6a6a46590838693f60390853
2020-01-14 15:31:32 INFO: Linkage for commit 6786ea182f3dcc7679ead365c202bda77e0b13fa
2020-01-14 15:31:33 INFO: Linkage for commit 828340d2df8510f319615e9cc7a7293a220b113f
2020-01-14 15:31:34 INFO: Linkage for commit 25cb711b05885fedbf9bd6803059f80e4d50ead6
2020-01-14 15:31:37 INFO: Linkage for commit 36a57ddb17398011d07a17dcc0bdb74f2de9f500
2020-01-14 15:31:37 INFO: Linkage for commit 76ef58bb669f57c784a1bb15504d483fda193111
2020-01-14 15:31:38 INFO: Linkage for commit 74c6d447f0ac63012c497a0ee972b44e91dbf94f
2020-01-14 15:31:39 INFO: Linkage for commit 07bcc3efe43ba29a3895b52fae30b4a8b56aba56
2020-01-14 15:31:40 INFO: Linkage for commit 9017e8f4bd67b53c8713175299ca0c64d0ab566a
2020-01-14 15:31:40 INFO: Linkage for commit c4c85cb8c6febbfd083c11363c79dda31cc85a28
2020-01-14 15:31:41 INFO: Linkage for commit 985183a19bf995222e56d4195980727bec7af38e
2020-01-14 15:31:44 INFO: Linkage for commit 34c967a9832e5894e07dffd4cd6a8edf5903949f
2020-01-14 15:31:45 INFO: Linkage for commit e1c9b522abc1efd7a750359d750c844b4dabd3ec
2020-01-14 15:31:46 INFO: Linkage for commit d952773c70aead7deaf0e9785d34927a6a4ead66
2020-01-14 15:31:48 INFO: Linkage for commit af2bd3f907b03e936194d00c67ca2e73ab7db6ed
2020-01-14 15:31:49 INFO: Linkage for commit e37385661ed4b48571962c64b5eca41d5b4be79d
2020-01-14 15:31:49 INFO: Linkage for commit c0bbcc49f403f672c31efc68f8b4f90a152cbd04
2020-01-14 15:31:50 INFO: Linkage for commit a9713821e3d8fcef1eca25b96e8c1c0d7b8f875b
2020-01-14 15:31:50 INFO: Linkage for commit 4e13a0c1f219c340a6d4b0acc67cb833fe646294
2020-01-14 15:31:51 INFO: Linkage for commit 27e238572a2277974376d7e009f7a1ec3ee8e054
2020-01-14 15:31:55 INFO: Linkage for commit 6c501fe128bddec30bd76d0665f9ee98cedaff49
