,repo_name,repo_owner,git_url,api_base_url,source_type,access_token,lang,commits,defective,release
0,jq,stedolan,https://github.com/stedolan/jq.git,http://api.github.com,github_repo,,C,1310,340,
1,seaborn,mwaskom,https://github.com/mwaskom/seaborn.git,http://api.github.com,github_repo,,Python,2450,341,
2,pyspider,binux,https://github.com/binux/pyspider.git,http://api.github.com,github_repo,,Python,1174,354,
3,jsoup,jhy,https://github.com/jhy/jsoup.git,http://api.github.com,github_repo,,Java,1261,355,
4,AndroidAsync,koush,https://github.com/koush/AndroidAsync.git,http://api.github.com,github_repo,,Java,1081,361,
5,django-tastypie,toastdriven,https://github.com/toastdriven/django-tastypie.git,http://api.github.com,github_repo,,Python,1277,374,
6,XX-Net,XX-net,https://github.com/XX-net/XX-Net.git,http://api.github.com,github_repo,,Python,2069,425,
7,eve,nicolaiarocci,https://github.com/nicolaiarocci/eve.git,http://api.github.com,github_repo,,Python,2810,428,
8,metrics,dropwizard,https://github.com/dropwizard/metrics.git,http://api.github.com,github_repo,,Java,2580,429,
9,memcached,memcached,https://github.com/memcached/memcached.git,http://api.github.com,github_repo,,C,1581,464,
10,watchman,facebook,https://github.com/facebook/watchman.git,http://api.github.com,github_repo,,C++,3591,480,
11,jinja2,mitsuhiko,https://github.com/mitsuhiko/jinja2.git,http://api.github.com,github_repo,,Python,2065,489,
12,Faker,joke2k,https://github.com/joke2k/Faker.git,http://api.github.com,github_repo,,Python,2238,519,
13,thumbor,thumbor,https://github.com/thumbor/thumbor.git,http://api.github.com,github_repo,,Python,2130,530,
14,junit,junit-team,https://github.com/junit-team/junit.git,http://api.github.com,github_repo,,Java,2427,544,
15,androidannotations,excilys,https://github.com/excilys/androidannotations.git,http://api.github.com,github_repo,,Java,2908,583,
16,nanomsg,nanomsg,https://github.com/nanomsg/nanomsg.git,http://api.github.com,github_repo,,C,1642,600,
17,ccv,liuliu,https://github.com/liuliu/ccv.git,http://api.github.com,github_repo,,C,2117,638,
18,lwan,lpereira,https://github.com/lpereira/lwan.git,http://api.github.com,github_repo,,C,2636,654,
19,powerline,Lokaltog,https://github.com/Lokaltog/powerline.git,http://api.github.com,github_repo,,Python,2819,658,
20,powerline,powerline,https://github.com/powerline/powerline.git,http://api.github.com,github_repo,,Python,2819,658,
21,portia,scrapinghub,https://github.com/scrapinghub/portia.git,http://api.github.com,github_repo,,Python,2690,668,
22,gunicorn,benoitc,https://github.com/benoitc/gunicorn.git,http://api.github.com,github_repo,,Python,2783,693,
23,ajenti,Ajenti,https://github.com/Ajenti/ajenti.git,http://api.github.com,github_repo,,Python,2603,714,
24,requests,kennethreitz,https://github.com/kennethreitz/requests.git,http://api.github.com,github_repo,,Python,5923,717,
25,ServiceStack,ServiceStack,https://github.com/ServiceStack/ServiceStack.git,http://api.github.com,github_repo,,C#,11023,749,
26,mezzanine,stephenmcd,https://github.com/stephenmcd/mezzanine.git,http://api.github.com,github_repo,,Python,5203,754,
27,tesseract,tesseract-ocr,https://github.com/tesseract-ocr/tesseract.git,http://api.github.com,github_repo,,C++,4457,803,
28,SFML,LaurentGomila,https://github.com/LaurentGomila/SFML.git,http://api.github.com,github_repo,,C++,2219,825,
29,peewee,coleifer,https://github.com/coleifer/peewee.git,http://api.github.com,github_repo,,Python,4191,833,
30,zxing,zxing,https://github.com/zxing/zxing.git,http://api.github.com,github_repo,,Java,3521,847,
31,glide,bumptech,https://github.com/bumptech/glide.git,http://api.github.com,github_repo,,Java,2445,873,
32,Catch,philsquared,https://github.com/philsquared/Catch.git,http://api.github.com,github_repo,,C++,3110,888,
33,taiga-back,taigaio,https://github.com/taigaio/taiga-back.git,http://api.github.com,github_repo,,Python,3793,907,
34,okhttp,square,https://github.com/square/okhttp.git,http://api.github.com,github_repo,,Java,4391,967,
35,sysdig,draios,https://github.com/draios/sysdig.git,http://api.github.com,github_repo,,C++,4297,979,
36,zipline,quantopian,https://github.com/quantopian/zipline.git,http://api.github.com,github_repo,,Python,5998,1014,
37,django-rest-framework,tomchristie,https://github.com/tomchristie/django-rest-framework.git,http://api.github.com,github_repo,,Python,8181,1090,
38,mopidy,mopidy,https://github.com/mopidy/mopidy.git,http://api.github.com,github_repo,,Python,8156,1202,
39,inbox,inboxapp,https://github.com/inboxapp/inbox.git,http://api.github.com,github_repo,,Python,4395,1228,
40,tiled,bjorn,https://github.com/bjorn/tiled.git,http://api.github.com,github_repo,,C++,4481,1256,
41,libsass,sass,https://github.com/sass/libsass.git,http://api.github.com,github_repo,,C++,4129,1259,
42,pyston,dropbox,https://github.com/dropbox/pyston.git,http://api.github.com,github_repo,,Python,5000,1325,
43,guava,google,https://github.com/google/guava.git,http://api.github.com,github_repo,,Java,5172,1348,
44,vert.x,eclipse,https://github.com/eclipse/vert.x.git,http://api.github.com,github_repo,,Java,4225,1404,
45,macvim,b4winckler,https://github.com/b4winckler/macvim.git,http://api.github.com,github_repo,,C,7374,1516,
46,titan,thinkaurelius,https://github.com/thinkaurelius/titan.git,http://api.github.com,github_repo,,Java,4434,1563,
47,redis,antirez,https://github.com/antirez/redis.git,http://api.github.com,github_repo,,C,8728,1609,
48,beets,sampsyo,https://github.com/sampsyo/beets.git,http://api.github.com,github_repo,,Python,9241,1830,
49,druid,alibaba,https://github.com/alibaba/druid.git,http://api.github.com,github_repo,,Java,6057,1852,
