repo_name,repo_owner,git_url,api_base_url,source_type,access_token,lang,commits,defective
DNAWorks,davidhoover,https://github.com/davidhoover/DNAWorks,http://api.github.com,github_repo,0,Fortran,26,1
fold2Bloch-Wien2k,rubel75,https://github.com/rubel75/fold2Bloch-Wien2k,http://api.github.com,github_repo,0,Fortran,60,1
HARP_Opt,NREL,https://github.com/NREL/HARP_Opt,http://api.github.com,github_repo,0,Fortran,26,1
GEM,ychen38,https://github.com/ychen38/GEM,http://api.github.com,github_repo,0,Fortran,45,1
postg,aoterodelaroza,https://github.com/aoterodelaroza/postg,http://api.github.com,github_repo,0,Fortran,49,1
LevelSetFortran,musheen,https://github.com/musheen/LevelSetFortran,http://api.github.com,github_repo,0,Fortran,24,1
ZstdFortranLib,zbeekman,https://github.com/zbeekman/ZstdFortranLib,http://api.github.com,github_repo,0,Fortran,62,1
Architect,albz,https://github.com/albz/Architect,http://api.github.com,github_repo,0,Fortran,80,1
gs3,alegarra,https://github.com/alegarra/gs3,http://api.github.com,github_repo,0,Fortran,29,1
fold2Bloch-VASP,rubel75,https://github.com/rubel75/fold2Bloch-VASP,http://api.github.com,github_repo,0,Fortran,88,1
SMFAPAC,mickcollins,https://github.com/mickcollins/SMFAPAC,http://api.github.com,github_repo,0,Fortran,56,1
fortranLAB,iurisegtovich,https://github.com/iurisegtovich/fortranLAB,http://api.github.com,github_repo,0,Fortran,42,1
yajl-fort,nncarlson,https://github.com/nncarlson/yajl-fort,http://api.github.com,github_repo,0,Fortran,33,1
dftatom,certik,https://github.com/certik/dftatom,http://api.github.com,github_repo,0,Fortran,71,1
BPEM,DwyaneChou,https://github.com/DwyaneChou/BPEM,http://api.github.com,github_repo,0,Fortran,54,1
WOFOST,ajwdewit,https://github.com/ajwdewit/WOFOST,http://api.github.com,github_repo,0,Fortran,37,1
ASKI,seismology-RUB,https://github.com/seismology-RUB/ASKI,http://api.github.com,github_repo,0,Fortran,70,1
GR1D,evanoconnor,https://github.com/evanoconnor/GR1D,http://api.github.com,github_repo,0,Fortran,61,1
tetran,fortran-gaming,https://github.com/fortran-gaming/tetran,http://api.github.com,github_repo,0,Fortran,4,1
gadfit,raullaasner,https://github.com/raullaasner/gadfit,http://api.github.com,github_repo,0,Fortran,62,1
spaceMARINE,kylekanos,https://github.com/kylekanos/spaceMARINE,http://api.github.com,github_repo,0,Fortran,22,1
Tinker-HP,TinkerTools,https://github.com/TinkerTools/Tinker-HP,http://api.github.com,github_repo,0,Fortran,86,1
ttb,adtzlr,https://github.com/adtzlr/ttb,http://api.github.com,github_repo,0,Fortran,223,1
euler2d,cpraveen,https://github.com/cpraveen/euler2d,http://api.github.com,github_repo,0,Fortran,34,1
channel-f90-mpi,davecats,https://github.com/davecats/channel-f90-mpi,http://api.github.com,github_repo,0,Fortran,30,1
stock-prices,modern-fortran,https://github.com/modern-fortran/stock-prices,http://api.github.com,github_repo,0,Fortran,30,1
stdlib,fortran-lang,https://github.com/fortran-lang/stdlib,http://api.github.com,github_repo,0,Fortran,259,1
GFR,nasa,https://github.com/nasa/GFR,http://api.github.com,github_repo,0,Fortran,28,1
PSNM,openmichigan,https://github.com/openmichigan/PSNM,http://api.github.com,github_repo,0,Fortran,104,1
lbfgsb_wrapper,mkobos,https://github.com/mkobos/lbfgsb_wrapper,http://api.github.com,github_repo,0,Fortran,25,1
fmetis,ivan-pi,https://github.com/ivan-pi/fmetis,http://api.github.com,github_repo,0,Fortran,52,1
FACE,szaghi,https://github.com/szaghi/FACE,http://api.github.com,github_repo,0,Fortran,42,1
minpack,certik,https://github.com/certik/minpack,http://api.github.com,github_repo,0,Fortran,22,1
HOS-NWT,LHEEA,https://github.com/LHEEA/HOS-NWT,http://api.github.com,github_repo,0,Fortran,46,1
shabaka,omhafez,https://github.com/omhafez/shabaka,http://api.github.com,github_repo,0,Fortran,53,2
Nbody6,nbodyx,https://github.com/nbodyx/Nbody6,http://api.github.com,github_repo,0,Fortran,46,2
fortran_oo,pletzer,https://github.com/pletzer/fortran_oo,http://api.github.com,github_repo,0,Fortran,37,2
CENS,ManyBodyPhysics,https://github.com/ManyBodyPhysics/CENS,http://api.github.com,github_repo,0,Fortran,29,2
ConductionFEM,anak-fhv,https://github.com/anak-fhv/ConductionFEM,http://api.github.com,github_repo,0,Fortran,140,2
FLINT,princemahajan,https://github.com/princemahajan/FLINT,http://api.github.com,github_repo,0,Fortran,31,2
MAOOAM,Climdyn,https://github.com/Climdyn/MAOOAM,http://api.github.com,github_repo,0,Fortran,24,2
Perplex,davehirsch,https://github.com/davehirsch/Perplex,http://api.github.com,github_repo,0,Fortran,31,2
NBODY6,mtrenti,https://github.com/mtrenti/NBODY6,http://api.github.com,github_repo,0,Fortran,46,2
NPY-for-Fortran,MRedies,https://github.com/MRedies/NPY-for-Fortran,http://api.github.com,github_repo,0,Fortran,50,2
fortran,exercism,https://github.com/exercism/fortran,http://api.github.com,github_repo,0,Fortran,27,2
dop853,jacobwilliams,https://github.com/jacobwilliams/dop853,http://api.github.com,github_repo,0,Fortran,29,2
fortran-error-handler,samharrison7,https://github.com/samharrison7/fortran-error-handler,http://api.github.com,github_repo,0,Fortran,76,2
adjac,pv,https://github.com/pv/adjac,http://api.github.com,github_repo,0,Fortran,112,2
cpu_timer,jlokimlin,https://github.com/jlokimlin/cpu_timer,http://api.github.com,github_repo,0,Fortran,36,2
PSU_WRF_EnKF,myying,https://github.com/myying/PSU_WRF_EnKF,http://api.github.com,github_repo,0,Fortran,51,2
modflow-2005-upcg,jdhughes-usgs,https://github.com/jdhughes-usgs/modflow-2005-upcg,http://api.github.com,github_repo,0,Fortran,27,2
ModeMap,JMSkelton,https://github.com/JMSkelton/ModeMap,http://api.github.com,github_repo,0,Fortran,21,2
romstools,trondkr,https://github.com/trondkr/romstools,http://api.github.com,github_repo,0,Fortran,60,2
PROFESS,EACcodes,https://github.com/EACcodes/PROFESS,http://api.github.com,github_repo,0,Fortran,23,2
nciplot,aoterodelaroza,https://github.com/aoterodelaroza/nciplot,http://api.github.com,github_repo,0,Fortran,22,2
Fortran,bhermanmit,https://github.com/bhermanmit/Fortran,http://api.github.com,github_repo,0,Fortran,27,2
V1,LBNL-AMO-MCTDHF,https://github.com/LBNL-AMO-MCTDHF/V1,http://api.github.com,github_repo,0,Fortran,1153,2
lusol,nwh,https://github.com/nwh/lusol,http://api.github.com,github_repo,0,Fortran,62,2
MissileSimulation,bgin,https://github.com/bgin/MissileSimulation,http://api.github.com,github_repo,0,Fortran,250,2
PPM_RC,yafshar,https://github.com/yafshar/PPM_RC,http://api.github.com,github_repo,0,Fortran,44,2
lbfgsb-sys,noshu,https://github.com/noshu/lbfgsb-sys,http://api.github.com,github_repo,0,Fortran,39,2
pscf,dmorse,https://github.com/dmorse/pscf,http://api.github.com,github_repo,0,Fortran,240,2
aircraft-datcom,arktools,https://github.com/arktools/aircraft-datcom,http://api.github.com,github_repo,0,Fortran,22,2
seren,dhubber,https://github.com/dhubber/seren,http://api.github.com,github_repo,0,Fortran,21,2
uquantchem,petrossou,https://github.com/petrossou/uquantchem,http://api.github.com,github_repo,0,Fortran,39,2
fortran-server,lukeasrodgers,https://github.com/lukeasrodgers/fortran-server,http://api.github.com,github_repo,0,Fortran,21,2
ogpf,kookma,https://github.com/kookma/ogpf,http://api.github.com,github_repo,0,Fortran,51,2
glmnet-python,dwf,https://github.com/dwf/glmnet-python,http://api.github.com,github_repo,0,Fortran,27,2
OptimizedModernFortran,afanfa,https://github.com/afanfa/OptimizedModernFortran,http://api.github.com,github_repo,0,Fortran,58,2
