2020-01-14 17:20:10 INFO: Adding repo Telegram to work queue for ingesting
2020-01-14 17:20:10 INFO: A worker is starting scan repository: Telegram
HEAD is now at 6a10354 Merge pull request #1545 from janka102/patch-1
2020-01-14 17:20:13 INFO: Pulling latest changes from repo: Telegram
2020-01-14 17:20:15 INFO: Done fetching.
2020-01-14 17:20:15 INFO: Getting/parsing git commits: Telegram
2020-01-14 17:20:39 INFO: Done getting/parsing git commits.
2020-01-14 17:20:39 INFO: Saving commits to the csv...
2020-01-14 17:20:39 INFO: Done saving commits to the csv.
2020-01-14 17:20:39 INFO: A worker finished ingesting repo Telegram
2020-01-14 17:20:39 INFO: Adding repo Telegram to work queue for analyzing.
2020-01-14 17:20:39 INFO: Worker analyzing repository  Telegram
2020-01-14 17:20:39 INFO: Linking 146 new corrective commits for repo Telegram
2020-01-14 17:20:39 INFO: Linkage for commit 5aee72ee33fd960df9173ab17942dd1a2ce912b5
/home/smajumd3/Data_Miner/github/API_V3/commit_guru/analyzer/git_commit_linker.py:53: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame

See the caveats in the documentation: http://pandas.pydata.org/pandas-docs/stable/indexing.html#indexing-view-versus-copy
  corrective_commit['linked'] = True # mark that we have linked this corrective commit.
/home/smajumd3/anaconda3/lib/python3.7/site-packages/pandas/core/series.py:1015: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame

See the caveats in the documentation: http://pandas.pydata.org/pandas-docs/stable/indexing.html#indexing-view-versus-copy
  self.loc[key] = value
2020-01-14 17:20:40 INFO: Linkage for commit d2a6fa4d6d02cc1acff27d3284845bf8a18b72dd
2020-01-14 17:20:41 INFO: Linkage for commit 507d05aaf1855320bc09863264f457756593d476
2020-01-14 17:21:04 INFO: Linkage for commit ff85d74b85bf33aa661e34b6a9e2bf037924fe0f
2020-01-14 17:21:04 INFO: Linkage for commit aa5ff577c48668c5ada2d5dbd778feeb875bf8e9
2020-01-14 17:21:05 INFO: Linkage for commit ea8f92441c58ed6b3deaa9ef1b9a2500543b1ef8
2020-01-14 17:21:06 INFO: Linkage for commit 6e63dee546704a721f3ee106b53c25b48709a9e3
2020-01-14 17:21:06 INFO: Linkage for commit 8ecb9e97c92d607af78850cd2d9685ab24b38100
2020-01-14 17:21:07 INFO: Linkage for commit dc00cb3c212209b430856a7b7f2469ddda50ed48
2020-01-14 17:21:10 INFO: Linkage for commit 4ede31105599d0af566f4143c85b35767f98b59f
2020-01-14 17:31:22 INFO: Linkage for commit 6be743c9c29402fc1438bac6a587fe021b9bfe8a
2020-01-14 17:31:23 INFO: Linkage for commit c125097b9ce42e23816efbe51963366ec253b157
2020-01-14 17:31:23 INFO: Linkage for commit 1eeb12f666c2bd88755023b59c1925879e1b903d
2020-01-14 17:31:30 INFO: Linkage for commit 0e9d92e8f9bb227e2cad8d01c64d06255de936fe
2020-01-14 17:31:31 INFO: Linkage for commit 22918f143a5d54cc56282575246e686d3baac3db
2020-01-14 17:31:34 INFO: Linkage for commit bd4152dc814925e0c82d11d6ac577c83156a1857
2020-01-14 17:31:43 INFO: Linkage for commit ebedf3c367639d43e6d1c63e2529d4d47ff59468
2020-01-14 17:31:53 INFO: Linkage for commit 51aa4141a41a811e87b829f587753f0b20158a9b
2020-01-14 17:31:56 INFO: Linkage for commit ec533c5fff68ed8649c7f02cfbbd05c50f62c14b
2020-01-14 17:32:35 INFO: Linkage for commit 05471c43951383964dae87f07546dbd656c69819
2020-01-14 17:32:37 INFO: Linkage for commit cea585cd39c934bfd4b4f55f882b345b8bd4f525
2020-01-14 17:32:38 INFO: Linkage for commit afeb66b18c8df702f97102e83a5e1a09f108577d
2020-01-14 17:32:38 INFO: Linkage for commit c783e25d6968bc137cdef6ba444846e26b6c2dd4
2020-01-14 17:32:39 INFO: Linkage for commit 1321d9d6d659db36880f14532603902ff24a339a
