2020-01-14 15:27:53 INFO: Adding repo junit to work queue for ingesting
2020-01-14 15:27:53 INFO: A worker is starting scan repository: junit
fatal: ambiguous argument 'FETCH_HEAD': unknown revision or path not in the working tree.
Use '--' to separate paths from revisions, like this:
'git <command> [<revision>...] -- [<file>...]'
2020-01-14 15:27:53 INFO: Pulling latest changes from repo: junit
fatal: ambiguous argument 'FETCH_HEAD': unknown revision or path not in the working tree.
Use '--' to separate paths from revisions, like this:
'git <command> [<revision>...] -- [<file>...]'
2020-01-14 15:27:54 INFO: Done fetching.
2020-01-14 15:27:54 INFO: Getting/parsing git commits: junit
2020-01-14 15:27:56 INFO: Done getting/parsing git commits.
2020-01-14 15:27:56 INFO: Saving commits to the csv...
2020-01-14 15:27:56 INFO: Done saving commits to the csv.
2020-01-14 15:27:56 INFO: A worker finished ingesting repo junit
2020-01-14 15:27:56 INFO: Adding repo junit to work queue for analyzing.
2020-01-14 15:27:56 INFO: Worker analyzing repository  junit
2020-01-14 15:27:56 INFO: Linking 494 new corrective commits for repo junit
2020-01-14 15:27:56 INFO: Linkage for commit bc3741becf26f02b5af98dc0b3b151bbd2a2fc83
/home/smajumd3/Data_Miner/github/API_V3/commit_guru/analyzer/git_commit_linker.py:53: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame

See the caveats in the documentation: http://pandas.pydata.org/pandas-docs/stable/indexing.html#indexing-view-versus-copy
  corrective_commit['linked'] = True # mark that we have linked this corrective commit.
/home/smajumd3/anaconda3/lib/python3.7/site-packages/pandas/core/series.py:1015: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame

See the caveats in the documentation: http://pandas.pydata.org/pandas-docs/stable/indexing.html#indexing-view-versus-copy
  self.loc[key] = value
2020-01-14 15:27:57 INFO: Linkage for commit a8ec4efa178afdbc7844e94d08ab38b811c7409a
2020-01-14 15:28:00 INFO: Linkage for commit 1e752dcb0a967bcb47fae4b12fb8765e79571e69
2020-01-14 15:28:00 INFO: Linkage for commit bfc94ee739d62127c7477300b26127bd560765a1
2020-01-14 15:28:06 INFO: Linkage for commit 8076b782f8c9ac1df6569bbfa479db2da9e6cbcf
2020-01-14 15:28:07 INFO: Linkage for commit 3216b428b87523b6b9247bd9d84c36c2ded3a3fa
2020-01-14 15:28:07 INFO: Linkage for commit 29416b4ee89314119fb0f2d8011d63ac36531388
2020-01-14 15:28:08 INFO: Linkage for commit 4999b51527fa32f2c17d3488ddc4095b19fa732a
2020-01-14 15:28:08 INFO: Linkage for commit 73df2e474b164740d3dd7ed4fe0f8b0cfebebad0
2020-01-14 15:28:09 INFO: Linkage for commit a1fef439624fe411d0bea8651324e28b134e8b4a
2020-01-14 15:28:09 INFO: Linkage for commit a856c49ff91f644557e68c2291e8600c38c35a78
2020-01-14 15:28:10 INFO: Linkage for commit 5e8bc3c92fa438bd05bba37b510a1b233c71a0bb
2020-01-14 15:28:10 INFO: Linkage for commit 0000f6851ce1dcad1894006aa68a918e9c4e72c1
2020-01-14 15:28:11 INFO: Linkage for commit e12333b195915fa7dd5ed32fec8b7e9adcbc95ed
2020-01-14 15:28:11 INFO: Linkage for commit 8de968f5d538f780d6e9de438f3f299778529fc3
2020-01-14 15:28:11 INFO: Linkage for commit 5b07ad195f88c32c732038d49851adaa557d0487
2020-01-14 15:28:12 INFO: Linkage for commit 4770bc0dfaa769aad5799e36e2faa125401307b0
2020-01-14 15:28:12 INFO: Linkage for commit 6d5e6b5d5e0a2a2560ed5d99f057f766de6b542f
2020-01-14 15:28:13 INFO: Linkage for commit efe178a2ae8557e0ee88e61a8815e50938c5cdbc
2020-01-14 15:28:13 INFO: Linkage for commit 94c8b3980368f13c3e2338f84dba0acd38381102
2020-01-14 15:28:14 INFO: Linkage for commit 8c46dd2f3212fa331528fc92019d4f22abe2ffc1
2020-01-14 15:28:14 INFO: Linkage for commit c15ba99f8f498b20a10df6a92f04d22182c2c964
2020-01-14 15:28:15 INFO: Linkage for commit 2a57cc62edbc06b83c68d81dea87bbe43c46e20f
2020-01-14 15:28:16 INFO: Linkage for commit 858fe281c8412ea60f24b6862b0bd5f75058624a
2020-01-14 15:28:17 INFO: Linkage for commit 7ab8d5e4fc2a796e0e4f4fd337fa5d15d07b0993
2020-01-14 15:28:17 INFO: Linkage for commit a76e7c3915e821ed92e143f52e9a040123c986d3
2020-01-14 15:28:18 INFO: Linkage for commit 15a124877d38d668808ae250821aa3d4327f7758
2020-01-14 15:28:18 INFO: Linkage for commit 0f8075aba2fc1bba1b0c145e28bb99b5da31928f
2020-01-14 15:28:19 INFO: Linkage for commit 4e8768dd8ffe28efea98454338f79ee40d8d3ebe
2020-01-14 15:28:19 INFO: Linkage for commit a19a2d6c0c454c83d368a561252bf7f4b202f8ea
2020-01-14 15:28:21 INFO: Linkage for commit 815f7e7966f2d09382273fe34cf40452c94eb47b
2020-01-14 15:28:22 INFO: Linkage for commit 8c1784e4b026417ed381ac5f0a7e2dda9084d7b0
2020-01-14 15:28:23 INFO: Linkage for commit 5d0898b619950ecadbb2365d055ec20706352049
2020-01-14 15:28:24 INFO: Linkage for commit 819de4cce0eac9adeb2b1797a1716addbde9a99a
2020-01-14 15:28:24 INFO: Linkage for commit d3b3a19c78435ef6b0d1c8832bcdb1a8d5ed6a4e
2020-01-14 15:28:25 INFO: Linkage for commit 6e9188321f116b8c21f7efa46e7ed20957ae128c
2020-01-14 15:28:25 INFO: Linkage for commit 39ed4a7c60e0162a514a163ba4033f4e6872ff7f
2020-01-14 15:28:26 INFO: Linkage for commit 9dd2616c05d9e353e1be1bc96a2287fdd965f2b5
2020-01-14 15:28:27 INFO: Linkage for commit 6c18a8d98aaa5f5751493b8ac00431f6f4fb75e2
