,Unnamed: 0,repo_name,repo_owner,git_url,api_base_url,source_type,access_token,lang,commits,defective,done
0,0,How-to-Make-a-Computer-Operating-System,SamyPesse,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System.git,http://api.github.com,github_repo,,C,243,1,1
1,1,friendlychat-android,firebase,https://github.com/firebase/friendlychat-android,http://api.github.com,github_repo,,Java,34,1,1
2,2,paho.mqtt.android,eclipse,https://github.com/eclipse/paho.mqtt.android,http://api.github.com,github_repo,,Java,195,1,1
3,3,paho.mqtt.java,eclipse,https://github.com/eclipse/paho.mqtt.java,http://api.github.com,github_repo,,Java,751,1,1
4,4,android-docs-samples,GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/android-docs-samples,http://api.github.com,github_repo,,Java,87,1,1
5,5,Toasty,GrenderG,https://github.com/GrenderG/Toasty,http://api.github.com,github_repo,,Java,147,1,1
6,6,android-mvvm-architecture,MindorksOpenSource,https://github.com/MindorksOpenSource/android-mvvm-architecture,http://api.github.com,github_repo,,Java,116,1,1
7,7,recipes-rss,Netflix,https://github.com/Netflix/recipes-rss,http://api.github.com,github_repo,,Java,80,1,1
0,0,activate-power-mode,ViceFantasyPlace,https://github.com/ViceFantasyPlace/activate-power-mode,http://api.github.com,github_repo,,Java,67,1,1
1,1,JDAddressSelector,chihane,https://github.com/chihane/JDAddressSelector,http://api.github.com,github_repo,,Java,44,1,1
2,2,cordova-plugin-streaming-media,nchutchind,https://github.com/nchutchind/cordova-plugin-streaming-media,http://api.github.com,github_repo,,Java,74,2,1
3,3,birt,eclipse,https://github.com/eclipse/birt,http://api.github.com,github_repo,,Java,32282,2,1
4,4,arquillian-examples,arquillian,https://github.com/arquillian/arquillian-examples,http://api.github.com,github_repo,,Java,61,2,1
5,5,dex-method-counts,mihaip,https://github.com/mihaip/dex-method-counts,http://api.github.com,github_repo,,Java,49,2,1
6,6,google-authenticator-android,google,https://github.com/google/google-authenticator-android,http://api.github.com,github_repo,,Java,72,2,1
